time,joint1,joint2,joint3,joint4,joint5
1749040869.7681887,-0.47429999709129333,-13.23449993133545,-12.33180046081543,-2.1531739234924316,-0.11867887526750565
1749040869.8683145,-0.47429999709129333,-13.188599586486816,-12.301199913024902,-2.170128107070923,-0.050862375646829605
1749040869.968121,-0.4896000027656555,-13.188599586486816,-12.25529956817627,-2.187082052230835,-0.06781650334596634
1749040870.0680406,-0.4896000027656555,-13.127400398254395,-12.16349983215332,-2.170128107070923,-0.08477062731981277
1749040870.168225,-0.4896000027656555,-13.1427001953125,-12.13290023803711,-2.2209904193878174,-0.06781650334596634
1749040870.2680717,-0.4896000027656555,-13.112099647521973,-12.086999893188477,-2.2379446029663086,-0.06781650334596634
1749040870.3683112,-0.5202000141143799,-13.081500053405762,-12.086999893188477,-2.2548985481262207,-0.03390825167298317
1749040870.4685214,-0.5048999786376953,-13.096799850463867,-11.995200157165527,-2.2548985481262207,-0.03390825167298317
1749040870.5682778,-0.4896000027656555,-13.066200256347656,-11.995200157165527,-2.288806915283203,-0.03390825167298317
1749040870.6679997,-0.4896000027656555,-13.05090045928955,-11.934000015258789,-2.3057610988616943,-0.03390825167298317
1749040870.7683256,-0.5967000126838684,-20.930400848388672,-11.475000381469727,-3.7977240085601807,-0.03390825167298317
1749040870.8682535,-0.7955999970436096,-16.202699661254883,-10.710000038146973,-4.01812744140625,-0.03390825167298317
1749040870.9682925,-0.7343999743461609,-18.650699615478516,-10.786499977111816,-2.6957058906555176,-1.7752466163756253e-13
1749040871.0683706,-0.566100001335144,-17.50320053100586,-10.266300201416016,-2.5770270824432373,-1.7752466163756253e-13
1749040871.1681786,-0.7190999984741211,-21.236400604248047,-11.536199569702148,-2.8482930660247803,-1.7752466163756253e-13
1749040871.2683315,-0.9027000069618225,-21.251699447631836,-12.041099548339844,-3.2382378578186035,-1.7752466163756253e-13
1749040871.3683589,-1.545300006866455,-20.71619987487793,-10.05210018157959,-2.3227150440216064,-1.7752466163756253e-13
1749040871.4682553,-1.6983000040054321,-20.853900909423828,-10.404000282287598,-3.000880241394043,-1.7752466163756253e-13
1749040871.5682855,-1.2239999771118164,-22.73579978942871,-4.895999908447266,-4.01812744140625,-1.7752466163756253e-13
1749040871.66827,-0.5048999786376953,-20.440799713134766,-7.848899841308594,-4.255485534667969,0.016954125836491585
1749040871.7682607,-0.45899999141693115,-22.490999221801758,-9.700200080871582,-4.950604438781738,0.03390825167298317
1749040871.8683147,-0.7955999970436096,-21.175199508666992,-9.455400466918945,-4.781063079833984,0.016954125836491585
1749040871.9687555,-0.9333000183105469,-21.465900421142578,-11.383199691772461,-5.187962055206299,-1.7752466163756253e-13
1749040872.0684733,-0.9485999941825867,-18.54360008239746,-11.505599975585938,-5.493136405944824,-1.7752466163756253e-13
1749040872.168363,-1.3157999515533447,-18.436500549316406,-11.2608003616333,-5.6965861320495605,0.03390825167298317
1749040872.2681477,-1.3310999870300293,-14.626799583435059,-12.194100379943848,-3.5264580249786377,0.016954125836491585
1749040872.3683293,-1.6677000522613525,-16.5393009185791,-11.15369987487793,-3.9842193126678467,0.050862375646829605
