time,joint1,joint2,joint3,joint4,joint5
1749467014.8338292,1.3005000352859497,-3.228300094604492,-10.771200180053711,-1.5089170932769775,0.4238531291484833
1749467014.833956,1.2698999643325806,-3.2435998916625977,-10.755900382995605,-1.5597795248031616,0.4238531291484833
1749467014.8619921,1.239300012588501,-3.274199962615967,-10.725299835205078,-1.5089170932769775,0.37299075722694397
1749467014.961933,1.2086999416351318,-3.274199962615967,-10.694700241088867,-1.5597795248031616,0.35603663325309753
1749467015.061921,1.1627999544143677,-3.2894999980926514,-10.648799896240234,-1.5089170932769775,0.3390825092792511
1749467015.162007,1.1475000381469727,-3.3201000690460205,-10.66409969329834,-1.5597795248031616,0.3051742613315582
1749467015.2620592,1.1168999671936035,-3.3201000690460205,-10.66409969329834,-1.5767335891723633,0.27126601338386536
1749467015.3622084,1.0709999799728394,-3.7332000732421875,-9.669599533081055,-2.2379446029663086,0.2543118894100189
1749467015.4617877,-0.7803000211715698,-10.771200180053711,-9.409500122070312,-3.2382378578186035,-0.2373577505350113
1749467015.5619214,-0.9639000296592712,-3.9474000930786133,-1.8513000011444092,-5.238824844360352,-0.7459815144538879
1749467015.6620197,-1.2239999771118164,-4.513500213623047,-4.605299949645996,-4.882788181304932,-1.1528805494308472
1749467015.7620776,-1.8207000494003296,-7.0991997718811035,-6.686100006103516,-5.32359504699707,-1.4919630289077759
1749467015.8619113,-1.9430999755859375,-5.8292999267578125,-6.777900218963623,-5.476182460784912,-1.729320764541626
1749467015.9617827,-1.9430999755859375,-6.487199783325195,-7.007400035858154,-5.238824844360352,-1.8819078207015991
1749467016.0617254,-1.7900999784469604,-2.1419999599456787,-9.011699676513672,-5.391411781311035,-1.8310455083847046
1749467016.1619632,-2.0195999145507812,-3.671999931335449,-8.29259967803955,-5.79831075668335,-1.8310455083847046
1749467016.262041,-2.1419999599456787,3.473099946975708,-7.1757001876831055,-5.7813568115234375,-1.8988620042800903
1749467016.361868,-1.8971999883651733,3.4577999114990234,-7.542900085449219,-3.2551920413970947,-1.8649537563323975
1749467016.4620252,-2.2184998989105225,5.737500190734863,-8.965800285339355,-2.7804765701293945,-1.915816068649292
1749467016.562143,-2.371500015258789,2.5244998931884766,-8.766900062561035,-3.729907512664795,-1.8649537563323975
1749467016.661917,-2.0501999855041504,0.1988999992609024,-10.296899795532227,-4.01812744140625,-1.8819078207015991
1749467016.7618825,-1.4381999969482422,4.758299827575684,-7.313399791717529,-1.458054780960083,-1.966678500175476
1749467016.861998,-1.4687999486923218,2.646899938583374,-8.078399658203125,-2.661797523498535,-1.8479995727539062
1749467016.961977,-1.805400013923645,-3.9626998901367188,-11.2608003616333,-3.2043297290802,-1.8819078207015991
1749467017.0619538,-1.6370999813079834,-0.44369998574256897,-9.302399635314941,-2.0514490604400635,-1.8140913248062134
1749467017.1619096,-1.545300006866455,-3.335400104522705,-11.138400077819824,-3.2551920413970947,-1.8310455083847046
1749467017.2618666,-1.652400016784668,-2.0501999855041504,-10.34280014038086,-2.7974305152893066,-1.7801830768585205
1749467017.3620245,-1.7747999429702759,-2.34089994430542,-10.220399856567383,-3.1534671783447266,-1.7632290124893188
1749467017.4619,-2.264400005340576,1.0709999799728394,-7.389900207519531,-5.476182460784912,-1.8310455083847046
1749467017.5618067,-2.034899950027466,0.7497000098228455,-8.277299880981445,-3.9842193126678467,-1.729320764541626
1749467017.6618698,-1.6217999458312988,-3.671999931335449,-11.168999671936035,-4.831925392150879,-1.7123665809631348
1749467017.762213,-1.6217999458312988,-2.616300106048584,-11.337300300598145,-5.171008110046387,-1.695412516593933
1749467017.8621306,-1.4535000324249268,-3.8708999156951904,-11.015999794006348,-4.628476142883301,-1.678458333015442
1749467017.961899,-1.4076000452041626,-2.616300106048584,-10.66409969329834,-4.984512805938721,-1.695412516593933
1749467018.0620081,-1.3310999870300293,-4.314599990844727,-11.4443998336792,-4.255485534667969,-1.678458333015442
1749467018.1625571,-1.652400016784668,-4.299300193786621,-11.092499732971191,-3.0517425537109375,-1.644550085067749
1749467018.2617977,-2.509200096130371,-0.7343999743461609,-9.180000305175781,-3.5095038414001465,-1.7801830768585205
1749467018.361977,-2.4939000606536865,-1.545300006866455,-9.822600364685059,-3.475595712661743,-1.9497243165969849
1749467018.461859,-2.2950000762939453,-1.6677000522613525,-9.96030044555664,-3.7807698249816895,-1.8310455083847046
1749467018.5620077,-1.499400019645691,-3.9626998901367188,-11.628000259399414,-2.9500176906585693,-1.5936877727508545
1749467018.6619363,-1.3769999742507935,-7.129799842834473,-12.530699729919434,-3.085650682449341,-1.5089170932769775
1749467018.7620006,-1.3617000579833984,-7.864200115203857,-12.668399810791016,-2.7974305152893066,-1.5089170932769775
1749467018.8620195,-1.5299999713897705,-10.404000282287598,-12.668399810791016,-2.712660074234009,-1.458054780960083
1749467018.9621038,-1.545300006866455,-7.160399913787842,-10.220399856567383,-2.37357759475708,-1.407192349433899
1749467019.0619915,-1.3157999515533447,-5.400899887084961,-8.78219985961914,-2.4922564029693604,-1.3902382850646973
1749467019.1618252,-1.086300015449524,1.3617000579833984,-6.808499813079834,-3.916402816772461,-1.373284101486206
1749467019.2618728,-0.8414999842643738,1.1934000253677368,-5.43149995803833,-3.0517425537109375,-1.3563300371170044
1749467019.3620281,-0.6425999999046326,2.1572999954223633,-3.580199956893921,-2.475302219390869,-1.3224217891693115
1749467019.4619353,-0.5967000126838684,5.477399826049805,-0.9485999941825867,-2.000586748123169,-1.2885135412216187
1749467019.5619314,0.26010000705718994,6.609600067138672,0.2142000049352646,-0.59339439868927,-1.3054676055908203
1749467019.6619718,0.6119999885559082,9.486000061035156,4.895999908447266,-0.6951191425323486,-1.2715593576431274
